ticker,marketCap,price,avgVol10d,avgVol,exchange,quoteType,sector,industry,profitMargins,returnOnEquity,revenueGrowth,currentRatio,freeCashflow,longName,Symbol,Security,GICS Sub-Industry,Index,avgDollarVol
ANIP,1765731072,76.87,456730,338843,NGM,EQUITY,Healthcare,Drug Manufacturers - Specialty & Generic,0.1107,0.20459,0.259,2.91,132205752,"ANI Pharmaceuticals, Inc.",ANIP,"ANI Pharmaceuticals, Inc.",Pharmaceuticals,S&P 600 (SmallCap),35108835.1
AORT,1409054720,28.9,823830,744222,NYQ,EQUITY,Healthcare,Medical Devices,-0.00671,-0.0073100002,0.113,3.473,13096750,"Artivion, Inc.",AORT,Artivion,Health Care Equipment,S&P 600 (SmallCap),23808687.0
ASTH,1942507008,39.16,572410,610491,NCM,EQUITY,Healthcare,Medical Care Facilities,0.01055,0.06902,0.485,1.229,231191248,"Astrana Health, Inc.",ASTH,"Astrana Health, Inc.",Health Care Facilities,S&P 600 (SmallCap),22415575.599999998
AZTA,1444800768,32.98,697270,819035,NMS,EQUITY,Healthcare,Medical Instruments & Supplies,-0.20021999,-0.07041,0.12,2.5,63366000,"Azenta, Inc.",AZTA,"Azenta, Inc.",Life Sciences Tools & Services,S&P 600 (SmallCap),22995964.599999998
BLFS,1708800128,34.94,498970,1123041,NCM,EQUITY,Healthcare,Medical Instruments & Supplies,0.54346,0.12829,0.215,9.694,4664875,"BioLife Solutions, Inc.",BLFS,"BioLife Solutions, Inc.",Health Care Supplies,S&P 600 (SmallCap),17434011.799999997
CERT,1221835648,8.01,4248030,4290491,NMS,EQUITY,Healthcare,Health Information Services,-0.16219,-0.022090001,0.01,2.551,62582376,"Certara, Inc.",CERT,"Certara, Inc.",Health Care Technology,S&P 600 (SmallCap),34026720.3
CNMD,1475398400,49.26,388710,628159,NYQ,EQUITY,Healthcare,Medical Devices,0.04119,0.05527,0.003,1.484,131359624,CONMED Corporation,CNMD,CONMED Corporation,Health Care Equipment,S&P 600 (SmallCap),19147854.599999998
COLL,924362752,28.5,1042310,502614,NMS,EQUITY,Healthcare,Drug Manufacturers - Specialty & Generic,0.05929,0.17612,0.063,1.031,324038496,"Collegium Pharmaceutical, Inc.",COLL,"Collegium Pharmaceutical, Inc.",Pharmaceuticals,S&P 600 (SmallCap),29705835.0
CON,4469496320,35.05,1197460,966572,NYQ,EQUITY,Healthcare,Medical Care Facilities,0.08688,0.4706,0.1,1.377,204793632,"Concentra Group Holdings Parent, Inc.",CON,"Concentra Group Holdings Parent, Inc.",Health Care Services,S&P 600 (SmallCap),41970973.0
CRVL,3401785856,67.34,192960,214348,NMS,EQUITY,Financial Services,Insurance Brokers,0.11724,0.30697,0.107,1.941,91710128,CorVel Corporation,CRVL,CorVel Corporation,Health Care Services,S&P 600 (SmallCap),12993926.4
ENOV,1478645888,25.64,1481840,1191570,NYQ,EQUITY,Healthcare,Medical Devices,-0.4797,-0.54142,0.032,1.985,185567744,Enovis Corporation,ENOV,Enovis,Health Care Equipment,S&P 600 (SmallCap),37994377.6
HRMY,2261319168,38.83,863210,834520,NGM,EQUITY,Healthcare,Biotechnology,0.18884,0.20456,0.303,3.479,182835504,"Harmony Biosciences Holdings, Inc.",HRMY,"Harmony Biosciences Holdings, Inc.",Biotechnology,S&P 600 (SmallCap),33518444.299999997
HSTM,833631168,28.51,224240,210924,NMS,EQUITY,Healthcare,Health Information Services,0.066020004,0.059959996,0.125,1.062,50334876,"HealthStream, Inc.",HSTM,"HealthStream, Inc.",Health Care Technology,S&P 600 (SmallCap),6393082.4
IART,1364907392,17.55,610840,941469,NMS,EQUITY,Healthcare,Medical Devices,-0.0044,-0.00696,0.008,3.601,94402000,Integra LifeSciences Holdings Corporation,IART,Integra Lifesciences Holdings,Health Care Equipment,S&P 600 (SmallCap),10720242.0
ICUI,4595293184,183.76,364850,318448,NMS,EQUITY,Healthcare,Medical Instruments & Supplies,0.01393,0.014099999,0.005,2.43,175372128,"ICU Medical, Inc.",ICUI,ICU Medical,Health Care Supplies,S&P 600 (SmallCap),67044836.0
INSP,1658877440,57.38,794240,978333,NYQ,EQUITY,Healthcare,Medical Devices,0.15026,0.17965001,-0.076,8.551,94637248,"Inspire Medical Systems, Inc.",INSP,"Inspire Medical Systems, Inc.",Health Care Equipment,S&P 600 (SmallCap),45573491.2
INVA,1535216640,21.25,738530,841724,NMS,EQUITY,Healthcare,Biotechnology,0.8119,0.36676,0.193,16.007,110332496,"Innoviva, Inc.",INVA,"Innoviva, Inc.",Pharmaceuticals,S&P 600 (SmallCap),15693762.5
ITGR,4252065280,125.09,1417090,856256,NYQ,EQUITY,Healthcare,Medical Devices,0.06965,0.075040005,-0.026,3.733,107673376,Integer Holdings Corporation,ITGR,Integer Holdings Corporation,Health Care Equipment,S&P 600 (SmallCap),177263788.1
LFST,4722207232,12.36,5786460,3708654,NMS,EQUITY,Healthcare,Medical Care Facilities,0.03193,0.03429,0.261,1.376,172356128,"LifeStance Health Group, Inc.",LFST,Lifestance Health,Health Care Services,S&P 600 (SmallCap),71520645.6
LGND,5733281280,287.59,277260,363756,NGM,EQUITY,Healthcare,Biotechnology,0.6788,0.21962,0.337,31.178,139748880,Ligand Pharmaceuticals Incorporated,LGND,"Ligand Pharmaceuticals, Inc.",Biotechnology,S&P 600 (SmallCap),79737203.39999999
LMAT,1864301696,81.52,591970,362638,NGM,EQUITY,Healthcare,Medical Instruments & Supplies,0.25024998,0.16774,0.096,16.312,49263624,"LeMaitre Vascular, Inc.",LMAT,LeMaitre Vascular,Health Care Equipment,S&P 600 (SmallCap),48257394.4
LQDA,6653195776,74.33,1916710,1934033,NCM,EQUITY,Healthcare,Drug Manufacturers - Specialty & Generic,0.30739,1.3181599,18.427,2.312,74296128,Liquidia Corporation,LQDA,Liquidia Corporation,Pharmaceuticals,S&P 600 (SmallCap),142469054.29999998
MD,2158086912,26.56,911640,795033,NYQ,EQUITY,Healthcare,Medical Care Facilities,0.08962,0.20389,0.04,1.316,160776992,"Pediatrix Medical Group, Inc.",MD,Pediatrix Medical Group,Health Care Services,S&P 600 (SmallCap),24213158.4
MMSI,5329752064,89.26,1180080,898508,NMS,EQUITY,Healthcare,Medical Instruments & Supplies,0.0922,0.0919,0.095,4.198,173902128,"Merit Medical Systems, Inc.",MMSI,"Merit Medical Systems, Inc.",Health Care Supplies,S&P 600 (SmallCap),105333940.80000001
NEO,2042759424,15.9,1750070,2771864,NCM,EQUITY,Healthcare,Diagnostics & Research,-0.0677,-0.06327,0.112,3.603,43904752,"NeoGenomics, Inc.",NEO,"NeoGenomics Laboratories, Inc.",Health Care Services,S&P 600 (SmallCap),27826113.0
