Symbol,Security,GICS Sector,GICS Sub-Industry,Index
NEOG,Neogen,Health Care,Health Care Supplies,S&P 600 (SmallCap)
NHC,"National Healthcare, Corp.",Health Care,Health Care Facilities,S&P 600 (SmallCap)
OGN,Organon & Co.,Health Care,Pharmaceuticals,S&P 600 (SmallCap)
OMCL,Omnicell,Health Care,Health Care Technology,S&P 600 (SmallCap)
PAHC,Phibro Animal Health,Health Care,Pharmaceuticals,S&P 600 (SmallCap)
PBH,Prestige Consumer Healthcare,Health Care,Pharmaceuticals,S&P 600 (SmallCap)
PCRX,"Pacira BioSciences, Inc.",Health Care,Pharmaceuticals,S&P 600 (SmallCap)
PGNY,"Progyny, Inc.",Health Care,Health Care Services,S&P 600 (SmallCap)
PRGO,Perrigo,Health Care,Pharmaceuticals,S&P 600 (SmallCap)
PRVA,"Privia Health Group, Inc.",Health Care,Health Care Services,S&P 600 (SmallCap)
PTCT,"PTC Therapeutics, Inc.",Health Care,Pharmaceuticals,S&P 600 (SmallCap)
PTGX,"Protagonist Therapeutics, Inc.",Health Care,Biotechnology,S&P 600 (SmallCap)
QDEL,QuidelOrtho,Health Care,Health Care Supplies,S&P 600 (SmallCap)
RCUS,"Arcus Biosciences, Inc.",Health Care,Biotechnology,S&P 600 (SmallCap)
RDNT,"RadNet, Inc.",Health Care,Health Care Services,S&P 600 (SmallCap)
SDGR,"Schrödinger, Inc.",Health Care,Health Care Services,S&P 600 (SmallCap)
SRPT,Sarepta Therapeutics,Health Care,Biotechnology,S&P 600 (SmallCap)
STAA,STAAR Surgical Company,Health Care,Health Care Equipment,S&P 600 (SmallCap)
SUPN,"Supernus Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,S&P 600 (SmallCap)
TFX,Teleflex,Health Care,Health Care Equipment,S&P 600 (SmallCap)
TGTX,"TG Therapeutics, Inc.",Health Care,Biotechnology,S&P 600 (SmallCap)
TMDX,"TransMedics Group, Inc.",Health Care,Health Care Equipment,S&P 600 (SmallCap)
TNDM,Tandem Diabetes Care,Health Care,Health Care Equipment,S&P 600 (SmallCap)
UFPT,"UFP Technologies, Inc.",Health Care,Health Care Equipment,S&P 600 (SmallCap)
USPH,"U.S. Physical Therapy, Inc.",Health Care,Health Care Facilities,S&P 600 (SmallCap)
VCEL,Vericel,Health Care,Biotechnology,S&P 600 (SmallCap)
VCYT,"Veracyte, Inc.",Health Care,Health Care Services,S&P 600 (SmallCap)
VIR,"Vir Biotechnology, Inc.",Health Care,Biotechnology,S&P 600 (SmallCap)
WAY,Waystar Holding Corp,Health Care,Health Care Technology,S&P 600 (SmallCap)
XNCR,Xencor Inc,Health Care,Biotechnology,S&P 600 (SmallCap)
